;Source;Instance;GA;Gurobi;Literature;GA Best Gap;Gurobi Best Gap;Literature Best Gap;GA Literature Gap;Gurobi Literature Gap;GA/Gurobi;GA/Literature;n_machines;n_operations;beta_flexibility;duration_variety
161;2a_Hurink_sdata;24;1118.0;1056;10000000.0;0.058712121212121215;0.0;9468.69696969697;-0.9998882;-0.9998944;-;+;10;150;0.1;0.49333333333333335
162;2a_Hurink_sdata;25;973.0;927;10000000.0;0.04962243797195254;0.0;10786.486515641855;-0.9999027;-0.9999073;-;+;10;150;0.1;0.48
163;2a_Hurink_sdata;26;1038.0;1032;10000000.0;0.005813953488372093;0.0;9688.922480620155;-0.9998962;-0.9998968;-;+;10;150;0.1;0.4866666666666667
164;2a_Hurink_sdata;27;986.0;935;10000000.0;0.05454545454545454;0.0;10694.187165775402;-0.9999014;-0.9999065;-;+;10;150;0.1;0.5133333333333333
165;2a_Hurink_sdata;28;1036.0;977;10000000.0;0.06038894575230297;0.0;10234.414534288639;-0.9998964;-0.9999023;-;+;10;150;0.1;0.5466666666666666
166;2a_Hurink_sdata;29;1273.0;1218;10000000.0;0.0451559934318555;0.0;8209.180623973727;-0.9998727;-0.9998782;-;+;10;200;0.1;0.43
167;2a_Hurink_sdata;30;1326.0;1255;10000000.0;0.05657370517928287;0.0;7967.12749003984;-0.9998674;-0.9998745;-;+;10;200;0.1;0.41
168;2a_Hurink_sdata;31;1296.0;1234;10000000.0;0.050243111831442464;0.0;8102.727714748785;-0.9998704;-0.9998766;-;+;10;200;0.1;0.425
169;2a_Hurink_sdata;32;1289.0;1234;10000000.0;0.04457050243111831;0.0;8102.727714748785;-0.9998711;-0.9998766;-;+;10;200;0.1;0.44
170;2a_Hurink_sdata;33;1401.0;1355;10000000.0;0.03394833948339483;0.0;7379.073800738008;-0.9998599;-0.9998645;-;+;10;200;0.1;0.4
171;2a_Hurink_sdata;34;1784.0;1784;10000000.0;0.0;0.0;5604.3811659192825;-0.9998216;-0.9998216;o;+;10;300;0.1;0.30666666666666664
172;2a_Hurink_sdata;35;1850.0;1850;10000000.0;0.0;0.0;5404.405405405405;-0.999815;-0.999815;o;+;10;300;0.1;0.31333333333333335
173;2a_Hurink_sdata;36;1724.0;1719;10000000.0;0.0029086678301337987;0.0;5816.335660267598;-0.9998276;-0.9998281;-;+;10;300;0.1;0.30666666666666664
174;2a_Hurink_sdata;37;1755.0;1721;10000000.0;0.019755955839628123;0.0;5809.575246949448;-0.9998245;-0.9998279;-;+;10;300;0.1;0.30666666666666664
175;2a_Hurink_sdata;38;1888.0;1888;10000000.0;0.0;0.0;5295.610169491525;-0.9998112;-0.9998112;o;+;10;300;0.1;0.29333333333333333
176;2a_Hurink_sdata;39;1336.0;1268;10000000.0;0.05362776025236593;0.0;7885.435331230284;-0.9998664;-0.9998732;-;+;15;225;0.06666666666666667;0.39111111111111113
177;2a_Hurink_sdata;40;1517.0;1397;10000000.0;0.08589835361488905;0.0;7157.196134574087;-0.9998483;-0.9998603;-;+;15;225;0.06666666666666667;0.4088888888888889
178;2a_Hurink_sdata;41;1325.0;1202;10000000.0;0.10232945091514144;0.0;8318.467554076538;-0.9998675;-0.9998798;-;+;15;225;0.06666666666666667;0.36444444444444446
179;2a_Hurink_sdata;42;1336.0;1233;10000000.0;0.08353609083536091;0.0;8109.300081103001;-0.9998664;-0.9998767;-;+;15;225;0.06666666666666667;0.39555555555555555
180;2a_Hurink_sdata;43;1309.0;1235;10000000.0;0.05991902834008097;0.0;8096.165991902834;-0.9998691;-0.9998765;-;+;15;225;0.06666666666666667;0.38666666666666666
181;2a_Hurink_sdata;44;1238.0;1234;10000000.0;0.0032414910858995136;0.0;8102.727714748785;-0.9998762;-0.9998766;-;+;10;100;0.1;0.42
182;2a_Hurink_sdata;45;947.0;943;10000000.0;0.0042417815482502655;0.0;10603.453870625663;-0.9999053;-0.9999057;-;+;10;100;0.1;0.57
183;2a_Hurink_sdata;46;741.0;682;10000000.0;0.08651026392961877;0.0;14661.756598240469;-0.9999259;-0.9999318;-;+;15;300;0.06666666666666667;0.1
184;2a_Hurink_sdata;47;757.0;704;10000000.0;0.07528409090909091;0.0;14203.545454545454;-0.9999243;-0.9999296;-;+;15;300;0.06666666666666667;0.1
185;2a_Hurink_sdata;48;778.0;717;10000000.0;0.08507670850767085;0.0;13946.001394700139;-0.9999222;-0.9999283;-;+;15;300;0.06666666666666667;0.1
186;2a_Hurink_sdata;49;7038.0;7038;10000000.0;0.0;0.0;1419.8581983518045;-0.9992962;-0.9992962;o;+;5;55;0.2;0.7636363636363637
187;2a_Hurink_sdata;50;7166.0;7166;10000000.0;0.0;0.0;1394.4786491766677;-0.9992834;-0.9992834;o;+;4;52;0.25;0.8461538461538461
188;2a_Hurink_sdata;51;7399.0;7312;10000000.0;0.011898249452954049;0.0;1366.6148796498906;-0.9992601;-0.9992688;-;+;5;60;0.2;0.65
189;2a_Hurink_sdata;52;8003.0;8003;10000000.0;0.0;0.0;1248.5314257153568;-0.9991997;-0.9991997;o;+;4;56;0.25;0.7142857142857143
190;2a_Hurink_sdata;53;7750.0;7702;10000000.0;0.006232147494157362;0.0;1297.3640612827837;-0.999225;-0.9992298;-;+;6;60;0.16666666666666666;0.7833333333333333
191;2a_Hurink_sdata;54;8330.0;8313;10000000.0;0.002044989775051125;0.0;1201.9351617947793;-0.999167;-0.9991687;-;+;9;72;0.1111111111111111;0.7777777777777778
192;2a_Hurink_sdata;55;6558.0;6558;10000000.0;0.0;0.0;1523.8551387618177;-0.9993442;-0.9993442;o;+;7;49;0.14285714285714285;0.8367346938775511
193;2a_Hurink_sdata;56;8264.0;8264;10000000.0;0.0;0.0;1209.0677637947724;-0.9991736;-0.9991736;o;+;8;64;0.125;0.515625
194;2a_Hurink_sdata;57;1098.0;1059;10000000.0;0.036827195467422094;0.0;9441.870632672333;-0.9998902;-0.9998941;-;+;10;100;0.1;0.66
195;2a_Hurink_sdata;58;917.0;888;10000000.0;0.03265765765765766;0.0;11260.261261261261;-0.9999083;-0.9999112;-;+;10;100;0.1;0.56
196;2a_Hurink_sdata;59;1063.0;1005;10000000.0;0.05771144278606965;0.0;9949.248756218905;-0.9998937;-0.9998995;-;+;10;100;0.1;0.6
197;2a_Hurink_sdata;60;1015.0;1005;10000000.0;0.009950248756218905;0.0;9949.248756218905;-0.9998985;-0.9998995;-;+;10;100;0.1;0.6
198;2a_Hurink_sdata;61;904.0;887;10000000.0;0.019165727170236752;0.0;11272.957158962796;-0.9999096;-0.9999113;-;+;10;100;0.1;0.69
199;2a_Hurink_sdata;62;1033.0;1010;10000000.0;0.02277227722772277;0.0;9899.990099009901;-0.9998967;-0.999899;-;+;10;100;0.1;0.63
200;2a_Hurink_sdata;63;405.0;397;10000000.0;0.020151133501259445;0.0;25187.91687657431;-0.9999595;-0.9999603;-;+;10;99;0.1;0.3838383838383838
201;2a_Hurink_sdata;64;933.0;899;10000000.0;0.03781979977753059;0.0;11122.470522803114;-0.9999067;-0.9999101;-;+;10;100;0.1;0.61
202;2a_Hurink_sdata;65;960.0;934;10000000.0;0.027837259100642397;0.0;10705.638115631691;-0.999904;-0.9999066;-;+;10;100;0.1;0.66
203;2a_Hurink_sdata;66;959.0;944;10000000.0;0.015889830508474576;0.0;10592.22033898305;-0.9999041;-0.9999056;-;+;10;100;0.1;0.64
204;2b_Hurink_edata;1;55.0;55;55.0;0.0;0.0;0.0;0.0;0.0;o;o;6;36;0.19166666666666665;0.21428571428571427
205;2b_Hurink_edata;2;915.0;871;871.0;0.0505166475315729;0.0;0.0;0.0505166475315729;0.0;-;-;10;100;0.11499999999999999;0.5221238938053098
206;2b_Hurink_edata;3;1149.0;1117;1088.0;0.05606617647058824;0.02665441176470588;0.0;0.05606617647058824;0.02665441176470588;-;-;5;100;0.22999999999999998;0.5221238938053098
207;2b_Hurink_edata;4;609.0;609;609.0;0.0;0.0;0.0;0.0;0.0;o;o;5;50;0.22999999999999998;0.6333333333333333
208;2b_Hurink_edata;5;655.0;655;655.0;0.0;0.0;0.0;0.0;0.0;o;o;5;50;0.22999999999999998;0.65
209;2b_Hurink_edata;6;564.0;550;550.0;0.025454545454545455;0.0;0.0;0.025454545454545455;0.0;-;-;5;50;0.22999999999999998;0.6610169491525424
210;2b_Hurink_edata;7;568.0;568;568.0;0.0;0.0;0.0;0.0;0.0;o;o;5;50;0.22999999999999998;0.6271186440677966
211;2b_Hurink_edata;8;503.0;503;503.0;0.0;0.0;0.0;0.0;0.0;o;o;5;50;0.22999999999999998;0.6666666666666666
212;2b_Hurink_edata;9;833.0;833;833.0;0.0;0.0;0.0;0.0;0.0;o;o;5;75;0.22999999999999998;0.5930232558139535
213;2b_Hurink_edata;10;778.0;762;762.0;0.02099737532808399;0.0;0.0;0.02099737532808399;0.0;-;-;5;75;0.22999999999999998;0.6162790697674418
214;2b_Hurink_edata;11;845.0;845;845.0;0.0;0.0;0.0;0.0;0.0;o;o;5;75;0.22999999999999998;0.5813953488372093
215;2b_Hurink_edata;12;878.0;878;878.0;0.0;0.0;0.0;0.0;0.0;o;o;5;75;0.22999999999999998;0.5697674418604651
216;2b_Hurink_edata;13;866.0;866;866.0;0.0;0.0;0.0;0.0;0.0;o;o;5;75;0.22999999999999998;0.6666666666666666
217;2b_Hurink_edata;14;1106.0;1106;1103.0;0.0027198549410698096;0.0027198549410698096;0.0;0.0027198549410698096;0.0027198549410698096;o;-;5;100;0.22999999999999998;0.5398230088495575
218;2b_Hurink_edata;15;960.0;960;960.0;0.0;0.0;0.0;0.0;0.0;o;o;5;100;0.22999999999999998;0.5
219;2b_Hurink_edata;16;1053.0;1053;1053.0;0.0;0.0;0.0;0.0;0.0;o;o;5;100;0.22999999999999998;0.5350877192982456
220;2b_Hurink_edata;17;1123.0;1123;1123.0;0.0;0.0;0.0;0.0;0.0;o;o;5;100;0.22999999999999998;0.5752212389380531
221;2b_Hurink_edata;18;1116.0;1111;1111.0;0.004500450045004501;0.0;0.0;0.004500450045004501;0.0;-;-;5;100;0.22999999999999998;0.584070796460177
222;2b_Hurink_edata;19;915.0;892;892.0;0.0257847533632287;0.0;0.0;0.0257847533632287;0.0;-;-;10;100;0.11499999999999999;0.5398230088495575
223;2b_Hurink_edata;20;707.0;707;707.0;0.0;0.0;0.0;0.0;0.0;o;o;10;100;0.11499999999999999;0.504424778761062
224;2b_Hurink_edata;21;855.0;842;842.0;0.015439429928741092;0.0;0.0;0.015439429928741092;0.0;-;-;10;100;0.11499999999999999;0.5398230088495575
225;2b_Hurink_edata;22;813.0;796;796.0;0.02135678391959799;0.0;0.0;0.02135678391959799;0.0;-;-;10;100;0.11499999999999999;0.5752212389380531
226;2b_Hurink_edata;23;864.0;857;857.0;0.008168028004667444;0.0;0.0;0.008168028004667444;0.0;-;-;10;100;0.11499999999999999;0.584070796460177
227;2b_Hurink_edata;24;1094.0;1027;895.0;0.2223463687150838;0.14748603351955308;0.0;0.2223463687150838;0.14748603351955308;-;-;10;150;0.11499999999999999;0.4277456647398844
228;2b_Hurink_edata;25;947.0;880;882.0;0.07613636363636364;0.0;0.0022727272727272726;0.07369614512471655;-0.0022675736961451248;-;-;10;150;0.11499999999999999;0.4161849710982659
229;2b_Hurink_edata;26;998.0;957;950.0;0.05052631578947368;0.007368421052631579;0.0;0.05052631578947368;0.007368421052631579;-;-;10;150;0.11499999999999999;0.4269005847953216
230;2b_Hurink_edata;27;987.0;909;909.0;0.0858085808580858;0.0;0.0;0.0858085808580858;0.0;-;-;10;150;0.11499999999999999;0.4425287356321839
231;2b_Hurink_edata;28;991.0;936;941.0;0.05876068376068376;0.0;0.005341880341880342;0.053134962805526036;-0.005313496280552604;-;-;10;150;0.11499999999999999;0.47126436781609193
232;2b_Hurink_edata;29;1215.0;1148;1125.0;0.08;0.020444444444444446;0.0;0.08;0.020444444444444446;-;-;10;200;0.11499999999999999;0.3788546255506608
233;2b_Hurink_edata;30;1321.0;1249;1186.0;0.11382799325463744;0.05311973018549747;0.0;0.11382799325463744;0.05311973018549747;-;-;10;200;0.11499999999999999;0.36123348017621143
234;2b_Hurink_edata;31;1260.0;1188;1149.0;0.09660574412532637;0.033942558746736295;0.0;0.09660574412532637;0.033942558746736295;-;-;10;200;0.11499999999999999;0.37610619469026546
235;2b_Hurink_edata;32;1235.0;1157;1118.0;0.10465116279069768;0.03488372093023256;0.0;0.10465116279069768;0.03488372093023256;-;-;10;200;0.11499999999999999;0.3876651982378855
236;2b_Hurink_edata;33;1324.0;1263;1209.0;0.09511993382961124;0.04466501240694789;0.0;0.09511993382961124;0.04466501240694789;-;-;10;200;0.11499999999999999;0.3524229074889868
237;2b_Hurink_edata;34;1690.0;1709;1539.0;0.09811565951916829;0.11046133853151396;0.0;0.09811565951916829;0.11046133853151396;+;-;10;300;0.11499999999999999;0.2697947214076246
238;2b_Hurink_edata;35;1811.0;1785;1698.0;0.06654888103651355;0.05123674911660778;0.0;0.06654888103651355;0.05123674911660778;-;-;10;300;0.11499999999999999;0.2756598240469208
239;2b_Hurink_edata;36;1691.0;1656;1547.0;0.09308338720103426;0.07045895281189399;0.0;0.09308338720103426;0.07045895281189399;-;-;10;300;0.11499999999999999;0.2713864306784661
